"(Intercept)";"pop";"scale(log(FGM1), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(FGM1), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(FGM1), scale = F):scale(mass1, scale = F)";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"scale(log(FGM1), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(FGM1), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
0.0824123810149048;"+";NA;-0.192143541524263;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-187.72970981362;386.104580917563;0;0.0768697757405636
0.18909779709219;"+";NA;-0.15815169064101;-0.080737689860751;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-185.822204001241;386.875177233251;0.770596315687953;0.0522904946619278
0.407521759951099;"+";NA;-0.159562128610835;-0.297437638966027;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-187.217699749835;387.348442977931;1.24386206036883;0.0412718940072163
0.250572381840532;"+";NA;NA;-0.276759315229646;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-187.471678947012;387.856401372284;1.75182045472155;0.0320149358304653
0.0980546187478593;"+";-0.127785613285221;-0.201908629946568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-187.623807763788;388.160659005836;2.05607808827369;0.0274969123952937
0.0476916651401523;"+";NA;-0.193030678325597;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-187.704323929219;388.321691336699;2.21711041913608;0.0253697509386527
0.475549103175254;"+";NA;NA;-0.501886132728204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-188.873281364404;388.391724019131;2.2871431015684;0.0244967686052067
0.246729179909779;"+";NA;-0.199524590022694;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-186.71629815296;388.663365536689;2.55878461912675;0.0213856568445642
0.177180707039543;"+";-0.195616992223713;-0.17425629168455;-0.0460836953721368;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-185.583650341769;388.767300683538;2.66271976597545;0.0203026797146468
-0.346641428501326;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-191.342756119383;388.938143817714;2.83356290015087;0.0186404008880476
0.09638596525132;"+";NA;-0.161345788927435;-0.0539003286665635;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-185.739325917727;389.078651835453;2.97407091789051;0.0173757804256422
-0.330239444929985;NA;NA;-0.103849295680705;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-190.371437222157;389.168406359207;3.06382544164438;0.0166132412847209
-0.13673281963398;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-190.419049132256;389.263630179406;3.15904926184311;0.0158407880384282
-0.358320716931224;NA;NA;-0.173794480535567;0.226513329605848;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-189.319282581712;389.283726453747;3.17914553618471;0.0156824146386598
0.728509375193228;"+";NA;-0.158616819744377;-0.389564647915739;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-185.902988640909;389.405977281818;3.30139636425565;0.014752529857528
0.408655125473376;"+";-0.110658163198517;-0.168944244895098;-0.285140535688968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-187.140203648306;389.511176527382;3.40659560981896;0.0139966072514136
0.428854212047053;"+";NA;-0.159729984282075;-0.165964106387248;"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-184.776646667613;389.575765245338;3.47118432777495;0.0135518165637268
0.388014345346335;"+";NA;-0.160313759199497;-0.293610929482389;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-187.212853875876;389.656476982522;3.55189606495895;0.0130158094936851
0.1159166970554;"+";-0.372409695052344;-0.203949131368864;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-187.250941376848;389.732651984466;3.62807106690332;0.0125293918538106
0.0542878069472466;"+";NA;-0.162043005622955;0.0600591337251314;"+";NA;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;9;-185.004351944838;390.031175799788;3.92659488222534;0.0107921101432067
0.195184948059967;"+";NA;NA;-0.262935319202169;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-187.441938066516;390.1146453638;4.01006444623783;0.0103509731852577
0.245388442776333;"+";-0.0540327114744495;NA;-0.26977042546223;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-187.453573543993;390.137916318756;4.03333540119303;0.0102312326400113
0.836476232970763;"+";NA;NA;-0.604461151193328;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-187.582137796923;390.395044824616;4.29046390705298;0.00899690664769908
0.0577615975362208;"+";-0.134248925769551;-0.203445958567906;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-187.588325386719;390.407420004206;4.30283908664376;0.00894140935424428
0.0984584888845206;"+";-0.125533749741774;-0.202122226641091;NA;NA;NA;NA;NA;0.0109052293388974;NA;NA;NA;NA;NA;NA;NA;NA;7;-187.619507633845;390.469784498459;4.36520358089655;0.00866689829656401
0.537426218704668;"+";NA;NA;-0.380740548714553;"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-186.49186089141;390.583721782819;4.47914086525668;0.00818695745184964
0.475695998045933;"+";0.027595459412301;NA;-0.503113906587045;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-188.868405082758;390.649853643778;4.54527272621505;0.0079206747892797
