"(Intercept)";"pop";"scale(log(FGM1), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(FGM1), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(FGM1), scale = F):scale(mass1, scale = F)";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"scale(log(FGM1), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(FGM1), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
-0.210861282279179;NA;NA;-0.112957725587984;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-120.464026520729;249.525067966831;0;0.133699874624006
0.00924017206845215;"+";NA;-0.158093492814315;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-119.915278047488;250.739647004068;1.21457903723635;0.0728431156438458
-0.211340664314133;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-122.254122618121;250.861186412713;1.33611844588179;0.0685482806105037
-0.324853177643158;NA;NA;-0.139951701583727;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-120.17490768302;251.25890627513;1.73383830829897;0.0561866055012756
-0.224140060231175;NA;NA;-0.144226135749608;0.0941181396356516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-120.21340586423;251.33590263755;1.81083467071855;0.0540646315271692
-0.209284540600827;NA;0.078037905046942;-0.11033922594175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-120.415525496412;251.740141901916;2.21507393508421;0.0441706516543468
-0.102462529845113;"+";NA;-0.198812947504558;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-119.463462654552;252.219233001412;2.69416503458061;0.0347616590884677
-0.208879822639046;NA;0.144029685505618;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-122.093485756489;252.783986438352;3.25891847152036;0.0262099290567236
-0.202478694860169;NA;NA;NA;-0.0610109461535899;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-122.096592473426;252.790199872225;3.26513190539353;0.0261286285803903
-0.36438491256744;NA;NA;-0.183586888934113;0.115233788103436;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-119.807448007307;252.907203706921;3.38213574008995;0.0246439066775134
