"(Intercept)";"pop";"scale(log(mean_fgm), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(mean_fgm), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(mean_fgm), scale = F):scale(mass1, scale = F)";"scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F)";"scale(log(mean_fgm), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(mean_fgm), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
-0.304604544899186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-93.1714122264628;192.842824452926;0;0.0841637481113235
-0.286045753948028;NA;NA;-0.124643467748643;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-92.0429919283594;192.937047686506;0.0942232335805215;0.0802906091267441
-0.483877490123168;NA;NA;-0.190532655668234;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-91.4212262254032;194.146800276893;1.30397582396776;0.0438500724726625
0.0395328647748479;"+";NA;-0.176527521332544;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-91.4404261399393;194.185200105966;1.34237565304008;0.0430161857225658
-0.306431433419724;NA;-0.455191454684308;-0.134516372519829;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-91.466859146479;194.238066119045;1.39524166611946;0.0418940348515371
-0.322339052034874;NA;-0.377717363142275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-92.7777421409496;194.406548111687;1.56372365876098;0.0385094033435333
-0.112630341795351;"+";NA;-0.282812673918019;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-90.3511660489696;194.568998764606;1.72617431168041;0.0355051276785796
-0.314734050359168;NA;NA;-0.162513104895292;0.128133394987385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-91.7576850470114;194.81971792011;1.97689346718425;0.0313219005184993
0.115257977961724;"+";-0.567134380266673;-0.201741767289935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-90.5190272268882;194.904721120443;2.06189666751754;0.030018562784184
-0.0535125644018375;"+";-0.605417742246581;-0.316266251363672;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-89.2538334935469;195.053121532548;2.21029707962288;0.0278718088840092
-0.257223396892144;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-93.153801064876;195.158665959539;2.31584150661365;0.0264390882389496
-0.298744881020226;NA;NA;NA;-0.0211652226025172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-93.161024282513;195.173112394813;2.3302879418876;0.0262488010208217
-0.306916917513123;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-93.1713073925036;195.193678614795;2.35085416186899;0.0259802647729876
-0.51634891087224;NA;-0.483200421009471;-0.206206465517833;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-90.776326196498;195.419319059663;2.57649460673719;0.0232084626178746
-0.354742642857377;NA;-0.599564218533164;-0.196784350224981;0.204367309039732;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-90.8122894818727;195.491245630412;2.64842117748654;0.0223886401664445
-0.575975285552614;NA;NA;-0.258688432939447;0.185547740114317;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-90.8545466040758;195.575759874818;2.73293542189268;0.0214622713477073
-0.650340328905438;NA;-0.658101236580968;-0.306306285822978;0.270401359880483;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-89.6820574744446;195.909569494344;3.0667450414183;0.0181630945398336
0.245492133922981;"+";NA;-0.169554355475602;-0.118792281845275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-91.3746538108879;196.615974288442;3.77314983551693;0.0127583934623124
-0.238022063537198;"+";-0.396865657038554;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-92.7244133562329;196.753174538553;3.91035008562719;0.011912511575943
-0.305414862366586;NA;-0.45967410032112;-0.134011188306819;NA;NA;NA;NA;NA;0.0083735920361795;NA;NA;NA;NA;NA;NA;NA;NA;6;-91.4654377129696;196.797542092606;3.95471763968044;0.0116511567123982
