(Intercept);pop;scale(log(fgm1), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(fgm1), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);scale(log(fgm1), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(fgm1), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
-0.0378925283610667;NA;NA;0.401152967972932;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-653.358684812088;1316.89436077462;0;0.12591340127356
-0.0597531132118832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-654.592092471154;1317.30183200113;0.407471226512371;0.102704790962817
-0.191835452567045;+;NA;0.40449538575815;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-653.036792505447;1318.32210572095;1.427744946335;0.0616653328064889
-0.210069708296687;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-654.297538725564;1318.77206860157;1.87770782695088;0.0492416822831548
0.0504002310358225;NA;NA;0.390632939960928;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-653.428310466214;1319.10514164249;2.21078086786815;0.0416876092867932
0.0600075774719362;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-654.545144152842;1319.26727945613;2.37291868150805;0.0384414013297034
-0.0350680898023217;NA;-0.0609558424603618;0.392784697718086;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-653.715327879967;1319.67917646999;2.78481569537394;0.0312864948968807
0.123330901678142;+;NA;NA;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;7;-652.742352738824;1319.8170496913;2.92268891667823;0.0292023714740035
-0.0522044942964862;NA;-0.1511397370368;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-654.825001643892;1319.82699443823;2.93263366360748;0.0290575267863569
0.0835565232805895;+;NA;0.36527605653425;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;8;-651.859537313608;1320.14764605579;3.25328528116825;0.0247531248743557
