"(Intercept)";"pop";"scale(log(FGMngg), scale = F)";"scale(rel_cohort_quality, scale = F)";"sexe";"pop:scale(log(FGMngg), scale = F)";"pop:scale(rel_cohort_quality, scale = F)";"pop:sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"scale(log(FGMngg), scale = F):sexe";"scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"pop:scale(log(FGMngg), scale = F):sexe";"pop:scale(rel_cohort_quality, scale = F):sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"df";"logLik";"AICc";"delta";"weight"
-0.0262599737699344;NA;-0.22620822829563;0.272646207297766;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-1276.42952459698;2564.98867882359;0;0.0706014223024906
-0.317406406426211;"+";-0.235931952295359;0.211204418765266;"+";"+";"+";"+";-0.53259010155951;"+";"+";"+";"+";"+";"+";"+";19;-1262.92943954182;2565.05572947735;0.0670506537630899;0.0682737229951536
-0.176372310488366;"+";-0.222941180993084;0.262044817044634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-1275.45398968457;2565.0810860152;0.0924071916160756;0.0674135943667243
-0.185955753291812;"+";-0.223298365520792;0.121974350781821;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-1274.65200098717;2565.52691219107;0.538233367480643;0.0539433060176712
-0.0218727967688219;NA;-0.22516867629708;0.265802989801249;NA;NA;NA;NA;0.0801745371152838;NA;NA;NA;NA;NA;NA;NA;7;-1276.20732312647;2566.587752899;1.59907407541687;0.0317379540235672
-0.197422500653764;"+";-0.225829644329266;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-1277.27826453199;2566.6861586936;1.69747987001665;0.0302141499250813
-0.16911687201987;"+";-0.222038834081933;0.256121051979428;NA;NA;NA;NA;0.0716011941025517;NA;NA;NA;NA;NA;NA;NA;8;-1275.27647738061;2566.77586497793;1.78718615434354;0.0288888934929929
-0.0356610669621175;NA;-0.22959730120291;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-1278.40741798314;2566.90728588923;1.91860706564239;0.0270516163428707
-0.177022544426648;"+";-0.22209353926833;0.100183612228503;NA;NA;"+";NA;0.0972839588764197;NA;NA;NA;NA;NA;NA;NA;9;-1274.3312336458;2566.94153705904;1.95285823545237;0.0265922859672434
-0.0432489176266037;NA;-0.22615016740962;0.274084261613183;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-1276.41240795903;2566.99792256411;2.00924374052374;0.0258530458007693
-0.195332832559176;"+";-0.222869757864926;0.26360387234639;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-1275.43323852772;2567.08938727216;2.10070844857682;0.0246973528527085
-0.177918114125182;"+";-0.207079880349114;0.263060975974648;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-1275.43938713598;2567.10168448868;2.11300566509362;0.0245459643960963
-0.0655405138392638;NA;-0.207216046442659;0.324488355390375;"+";NA;NA;NA;-0.183766175875452;"+";"+";NA;NA;NA;"+";NA;11;-1272.49737156645;2567.40531856057;2.41663973698769;0.0210885538500621
-0.210594679305614;"+";-0.223203876211615;0.122621579971629;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-1274.61718145551;2567.51343267847;2.52475385488015;0.0199788329935601
-0.187040995282251;"+";-0.211918994287109;0.123216463525452;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-1274.6444828752;2567.56803551785;2.57935669425842;0.0194407609754667
-0.207886138859482;"+";-0.205463338754536;0.310630588673458;"+";NA;NA;NA;-0.189251768361456;"+";"+";NA;NA;NA;"+";NA;12;-1271.63947329638;2567.76492790117;2.77624907757809;0.0176180818313471
-0.220421690084707;"+";-0.203711030809844;0.146949932212214;"+";NA;"+";NA;-0.161707700107856;"+";"+";NA;NA;NA;"+";NA;13;-1270.72769342824;2568.02324957099;3.03457074740481;0.0154833447899166
-0.0358821019330728;NA;-0.225134481062463;0.267061571504179;"+";NA;NA;NA;0.0792612972100326;NA;NA;NA;NA;NA;NA;NA;8;-1276.19578361066;2568.61447743804;3.62579861445374;0.0115207641207822
-0.0402235247266105;NA;-0.178565189395025;0.277365999208683;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;8;-1276.20751280534;2568.63793582741;3.64925700382082;0.0113864242250382
-0.206425493018934;"+";-0.22579389180406;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-1277.27368948799;2568.72048562205;3.73180679845882;0.0109260177112894
-0.198270363272865;"+";-0.217730409282136;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-1277.27447457554;2568.72205579714;3.73337697355237;0.010917443197161
-0.19148878752521;"+";-0.176487864579931;0.266845404351108;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;9;-1275.23805146401;2568.75517269545;3.76649387186717;0.0107381557267185
-0.185419508633343;"+";-0.221987102636353;0.257536969894011;"+";NA;NA;NA;0.0705441866201827;NA;NA;NA;NA;NA;NA;NA;9;-1275.2613705508;2568.80181086904;3.81313204545586;0.0104906487750322
-0.169454101715501;"+";-0.21938736915068;0.25636669001744;NA;"+";NA;NA;0.0707706599043039;NA;NA;NA;NA;NA;NA;NA;9;-1275.27608993963;2568.83124964669;3.8425708231066;0.0103373637352893
-0.0421990034680258;NA;-0.229581515899026;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-1278.4049187995;2568.93946722864;3.95078840505084;0.00979288486398234
-0.237464377794459;"+";-0.223170451637275;0.261438814020961;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;9;-1275.33313969558;2568.9453491586;3.95667033500877;0.00976412664174474
-0.198533472406573;"+";-0.22202479721682;0.101013856676403;"+";NA;"+";NA;0.09606661808081;NA;NA;NA;NA;NA;NA;NA;10;-1274.30498343274;2568.95158177232;3.96290294873097;0.00973374598920286
-0.176061317735645;"+";-0.229744217733509;0.0987830925415522;NA;"+";"+";NA;0.0997915251958492;NA;NA;NA;NA;NA;NA;NA;10;-1274.32802295558;2568.997660818;4.00898199441008;0.0095120488312175
-0.0433847528603683;NA;-0.225511049716888;0.293907460447699;"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;8;-1276.39980881009;2569.02252783689;4.03384901330401;0.00939451288851556
