(Intercept);pop;scale(log(FGMngg), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(FGMngg), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F);scale(log(FGMngg), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(FGMngg), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
-0,064429262;NA;-0,413686517;1,022251283;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-783,94;1576;0;0,15
-0,056283403;NA;-0,418045973;1,009457855;NA;NA;NA;NA;0,07852899;NA;NA;NA;NA;NA;NA;NA;5;-783,89;1577,94;1,94;0,06
-0,097421029;+;-0,408473365;1,024882903;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-783,89;1577,95;1,95;0,06
-0,064539409;NA;-0,413698159;1,022258116;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-783,94;1578,05;2,06;0,06
-0,051371436;NA;-0,175534696;1,022026859;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;6;-782,96;1578,15;2,15;0,05
-0,101103033;+;-0,445945493;1,156034735;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-783,1;1578,44;2,44;0,05
-0,064429262;NA;NA;1,076920838;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-786,72;1579,52;3,52;0,03
-0,094278458;+;-0,412607975;1,010252397;NA;NA;NA;NA;0,092989548;NA;NA;NA;NA;NA;NA;NA;6;-783,81;1579,86;3,86;0,02
-0,094813166;+;-0,468734288;1,030052461;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-783,84;1579,91;3,91;0,02
-0,054911422;NA;-0,41790772;1,009356834;+;NA;NA;NA;0,078630648;NA;NA;NA;NA;NA;NA;NA;6;-783,89;1580;4,01;0,02
-0,096647367;+;-0,408387262;1,024835198;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-783,89;1580,01;4,02;0,02
